trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
10	1	0	0	4	3	1	5	0.0	1	2012	4	1	7	12.75	79	1	1	2	3379	0.833888889	0.242222222	0.209166667	0.0	0.123611111	0.0	0	0.141388889	0.0	0.51	0.0	0.0903733
26	7	0	2	1	3	2	1	1.0	1	2012	4	1	7	14.0	49	1	1	1	444	0.152222222	0.050833333	0.068333333	0.0	0.033888889	0.0	0	0.055277778	1.5	0.1	0.0	0.105528
47	12	0	1	4	5	1	5	0.0	1	2012	4	1	7	11.16666667	64	0	1	1	7835	1.823611111	0.554444444	0.082222222	0.0	0.5475	0.133333333	1	0.355555556	0.0	1.28	0.0	0.302344
80	16	0	1	3	5	6	5	0.0	1	2012	4	1	7	12.75	74	0	1	0	11777	2.858333333	0.860833333	0.276666667	0.45	0.0	0.2	2	0.8158333329999999	0.0	2.02	0.0	0.60572
88	17	4	0	4	3	1	1	1.0	1	2012	4	1	7	9.5	41	0	1	1	8402	1.929722222	0.562777778	0.3375	0.166666667	0.0	0.0	0	0.3425	1.9	1.35	0.0	0.300892
109	22	1	0	1	3	1	1	1.0	1	2012	4	1	7	11.0	42	0	1	2	1304	0.365	0.109722222	0.218611111	0.0	0.066666667	0.0	0	0.095277778	1.5	0.26	0.0	0.131195
110	22	1	2	4	3	1	1	1.0	1	2012	4	1	7	14.5	42	0	1	2	4807	1.16	0.318055556	0.246111111	0.0	0.283333333	0.0	0	0.231111111	1.5	0.83	0.0	0.259615
126	26	1	0	4	3	1	1	1.0	1	2012	4	2	1	11.0	59	1	1	2	2016	0.462222222	0.145	0.164444444	0.0	0.091944444	0.0	0	0.075555556	1.5	0.28	0.0	0.125
157	31	1	2	1	5	6	1	1.0	1	2012	4	2	1	13.0	36	1	0	0	157	0.061666667	0.0608333329999999	0.042222222	0.0	0.022222222	0.0	0	0.001111111	1.5	0.0	0.0	1.25
160	32	0	1	3	3	6	5	0.0	1	2012	4	2	1	10.25	76	1	0	0	1043	0.295	0.108055556	0.085	0.0	0.0841666669999999	0.0	0	0.049444444	0.0	0.16	0.0	0.0449438
